,Amiens,Bayonne,Beaune,Besançon,Bordeaux,Boulogne-sur-Mer,Bourges,Brest,Brive-la-Gaillarde,Caen,Calais,Chambéry,Cherbourg-Octeville,Clermont-Ferrant,Dunkerque,Gap,Genčve,Grenoble,Le Havre,Lille,Limoges,Lyon,Le Mans,Marseille,Metz,Mulhouse,Nancy,Nantes,Narbonne,Nice,Nîmes,Orange,Orléans,Paris,Pau,Perpignan,Poitiers,Reims,Rennes,La Rochelle,Rodez,Rouen,Saint-Étienne,Strasbourg,Toulon,Toulouse,Tours,Troyes,Valence,Valenciennes
Amiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayonne,08:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaune,04:21,08:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besançon,04:57,08:50,01:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,06:48,01:57,06:19,07:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulogne-sur-Mer,01:16,09:14,05:20,05:50,07:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourges,03:55,06:40,03:34,04:15,05:01,04:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brest,05:58,07:51,07:33,08:45,06:16,06:28,06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brive-la-Gaillarde,05:53,03:44,04:36,05:29,02:05,06:54,03:09,07:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caen,02:24,07:24,04:58,05:50,05:45,02:54,04:11,03:45,06:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calais,01:36,09:33,05:24,05:45,07:54,00:32,05:03,06:48,07:02,03:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambéry,06:35,07:57,02:25,02:59,06:18,07:36,04:36,10:09,04:33,07:10,07:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherbourg-Octeville,03:42,08:21,06:17,07:09,06:46,04:13,05:25,04:25,07:18,01:27,04:30,08:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clermont-Ferrant,05:23,05:32,03:18,04:11,03:53,06:24,01:57,07:43,02:08,05:41,06:31,02:55,06:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunkerque,01:56,09:43,05:33,05:54,08:04,00:53,05:11,07:09,07:10,03:33,00:37,07:42,04:52,06:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gap,08:22,07:29,04:12,04:56,07:05,09:23,06:23,11:56,06:20,08:57,09:20,02:27,10:17,04:39,09:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genève,06:21,08:44,02:12,02:13,07:05,07:23,04:35,09:52,05:20,06:57,07:13,00:56,08:17,03:39,07:23,03:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenoble,06:36,07:13,02:27,03:10,06:19,07:37,04:37,10:11,04:35,07:11,07:35,00:37,08:31,02:53,07:45,01:56,01:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Havre,01:48,07:50,04:42,05:34,06:11,02:19,04:10,04:40,06:08,01:03,02:36,06:54,02:22,05:38,02:56,08:41,06:44,06:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lille,01:31,08:58,04:48,05:10,07:19,01:36,04:26,07:10,06:25,03:34,01:17,06:57,04:54,05:55,00:57,08:44,06:38,06:58,02:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limoges,05:04,04:32,04:28,05:21,02:53,06:05,02:19,07:02,01:01,05:16,06:12,04:59,06:31,02:33,06:21,06:47,05:36,05:00,05:19,05:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon,05:38,07:09,01:29,02:30,05:30,06:39,03:39,09:32,03:45,06:13,06:37,01:09,07:33,02:04,06:47,02:57,01:39,01:10,05:58,06:02,04:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Mans,03:15,05:49,04:18,05:11,04:10,03:45,02:35,03:56,04:28,01:55,04:03,06:32,03:10,04:04,04:23,08:19,06:20,06:33,02:19,04:05,03:39,06:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marseille,08:27,06:16,04:18,05:17,05:52,09:28,06:00,11:45,05:35,09:02,09:26,03:50,10:22,04:28,09:36,01:49,04:40,02:53,08:46,08:51,06:19,02:57,08:13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metz,03:19,09:49,02:47,03:05,08:07,04:15,05:03,08:29,07:07,05:14,04:08,04:56,06:34,05:49,04:13,06:43,04:37,04:57,04:51,03:34,06:24,04:01,04:54,06:48,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulhouse,06:04,09:57,02:15,01:26,08:18,07:00,05:28,10:13,06:35,07:19,06:56,03:47,08:39,05:17,07:01,06:07,02:58,04:16,07:04,06:21,06:25,03:29,06:38,06:16,02:53,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,03:57,09:40,02:29,02:36,08:01,04:53,04:57,09:16,06:48,05:53,04:46,04:38,07:12,05:30,04:46,06:25,04:50,04:39,05:29,04:07,06:39,03:42,05:38,06:29,00:39,02:22,,,,,,,,,,,,,,,,,,,,,,,,
Nantes,04:50,05:02,05:53,06:45,03:28,05:20,03:29,03:11,04:39,02:55,05:37,07:25,03:33,04:57,05:57,09:13,07:46,07:26,03:46,05:39,03:50,06:47,01:57,08:56,06:28,07:48,07:04,,,,,,,,,,,,,,,,,,,,,,,
Narbonne,08:35,03:59,04:53,05:52,03:36,09:36,05:09,09:30,03:19,09:07,09:43,04:07,10:22,03:35,09:53,03:42,04:50,03:28,08:50,09:08,04:02,03:32,07:36,02:30,07:23,06:56,07:03,06:40,,,,,,,,,,,,,,,,,,,,,,
Nice,09:54,07:43,05:44,06:44,07:19,10:55,07:27,13:12,07:02,10:29,10:52,04:55,11:49,05:55,11:03,03:35,05:30,05:04,10:13,10:18,07:45,04:23,09:39,02:09,08:15,07:02,07:54,10:23,03:56,,,,,,,,,,,,,,,,,,,,,
Nîmes,07:54,05:10,03:44,04:44,04:47,08:55,05:25,10:41,04:30,08:29,08:52,02:59,09:49,03:50,09:03,02:33,03:42,02:20,08:13,08:18,05:13,02:23,07:37,01:20,06:15,05:48,05:54,07:51,01:23,02:46,,,,,,,,,,,,,,,,,,,,
Orange,07:21,05:32,03:12,04:11,05:08,08:23,04:54,10:40,04:51,07:57,08:20,02:27,09:16,03:23,08:31,02:28,03:09,01:47,07:41,07:46,05:28,01:51,07:07,01:10,05:43,05:16,05:22,07:55,01:45,02:35,00:38,,,,,,,,,,,,,,,,,,,
Orléans,02:54,05:53,02:53,03:45,04:14,03:56,01:19,05:36,03:18,03:25,04:03,05:05,04:45,02:48,04:12,06:52,04:54,05:06,03:10,03:27,02:29,04:09,02:15,06:57,04:13,04:52,04:05,03:17,05:58,08:16,06:15,05:45,,,,,,,,,,,,,,,,,,
Paris,01:37,07:02,02:56,03:48,05:23,02:39,02:30,05:42,04:29,02:21,02:49,05:08,03:41,03:58,02:58,06:55,04:57,05:09,02:05,02:13,03:40,04:13,02:07,07:00,03:02,05:14,03:39,03:43,07:08,08:25,06:28,05:54,01:29,,,,,,,,,,,,,,,,,
Pau,09:19,01:11,08:02,08:54,02:48,10:11,06:35,08:45,03:43,08:21,10:28,07:02,09:14,05:36,10:37,06:37,07:45,06:23,08:45,09:52,04:26,06:27,06:49,05:25,10:32,10:02,10:11,05:55,03:09,06:50,04:20,04:41,06:44,07:55,,,,,,,,,,,,,,,,
Perpignan,09:04,04:25,05:22,06:21,04:01,10:05,05:38,09:55,03:44,09:33,10:12,04:36,10:47,04:04,10:22,04:11,05:19,03:57,09:19,09:37,04:27,04:01,08:01,02:59,07:52,07:25,07:32,07:05,00:43,04:24,01:54,02:15,06:29,07:40,03:34,,,,,,,,,,,,,,,
Poitiers,04:41,04:30,04:39,05:31,02:51,05:30,02:23,05:06,02:41,03:40,05:47,06:20,04:54,03:52,05:58,08:07,06:40,06:21,04:04,05:13,01:52,05:41,02:08,07:55,05:59,06:38,05:51,02:12,05:41,09:20,06:53,06:49,02:07,03:17,05:24,06:07,,,,,,,,,,,,,,
Reims,01:42,08:12,03:02,03:24,06:33,02:38,03:48,06:52,05:39,03:38,02:31,05:11,04:57,05:26,02:41,06:59,04:52,05:12,03:14,01:56,04:50,04:16,03:17,07:03,01:45,04:29,02:22,04:53,07:38,08:28,06:32,05:58,02:39,01:27,09:04,08:08,04:28,,,,,,,,,,,,,
Rennes,04:03,06:11,05:35,06:27,04:31,04:34,03:56,02:32,06:00,01:50,04:51,07:52,02:29,05:24,05:11,09:40,07:36,07:53,02:42,05:13,05:12,06:52,01:39,09:27,06:09,07:56,06:57,01:19,07:48,10:53,08:52,08:22,03:16,03:24,07:05,08:14,03:34,04:32,,,,,,,,,,,,
La Rochelle,05:53,03:35,05:51,06:43,01:56,06:27,03:35,04:44,03:30,04:34,06:44,07:41,05:12,05:13,07:04,08:41,08:01,07:42,05:01,06:25,03:13,07:03,03:04,07:29,07:14,07:50,07:03,01:49,05:13,08:54,06:24,06:45,03:19,04:29,04:30,05:39,01:37,05:36,02:58,,,,,,,,,,,
Rodez,07:41,04:32,05:36,06:29,03:54,08:43,04:16,09:48,03:03,07:59,08:49,05:28,09:14,02:41,08:59,05:04,06:09,04:49,07:56,08:14,03:59,04:40,06:28,03:51,08:06,07:36,07:45,06:58,02:29,05:16,02:47,03:07,05:06,06:17,03:41,02:59,05:40,07:25,07:43,05:35,,,,,,,,,,
Rouen,01:15,07:33,04:08,05:00,05:54,01:45,03:36,04:53,05:35,01:17,02:03,06:20,02:37,05:04,02:22,08:08,06:10,06:21,01:01,02:25,04:46,05:25,02:02,08:12,04:16,06:29,04:53,03:39,08:14,09:37,07:40,07:07,02:35,01:32,08:27,08:44,03:49,02:39,02:58,04:46,07:24,,,,,,,,,
Saint-Étienne,06:18,06:38,02:08,03:08,04:59,07:19,03:04,08:50,03:14,06:48,07:16,01:35,08:03,01:33,07:27,03:22,02:16,01:36,06:45,06:42,03:38,00:47,05:17,03:10,04:39,04:12,04:18,06:05,03:45,04:35,02:38,02:05,03:55,04:53,06:39,04:15,04:59,04:55,06:32,06:24,04:08,06:13,,,,,,,,
Strasbourg,04:38,10:56,03:14,02:24,09:17,05:34,06:16,09:48,07:34,06:33,05:27,04:35,07:53,06:16,05:33,06:54,03:49,05:03,06:10,04:54,07:24,04:28,06:13,07:15,01:35,01:12,01:40,07:49,07:50,07:51,06:44,06:10,05:27,04:23,10:58,08:20,07:15,03:05,07:29,08:28,08:34,05:37,05:07,,,,,,,
Toulon,08:55,06:44,04:46,05:45,06:21,09:57,06:28,12:14,06:04,09:31,09:54,04:12,10:50,04:56,10:05,02:16,05:03,03:45,09:15,09:20,06:47,03:25,08:41,00:46,07:16,06:49,06:56,09:25,02:57,01:36,01:51,01:39,07:19,07:31,05:53,03:27,08:22,07:32,09:56,08:01,04:21,08:42,03:38,07:48,,,,,,
Toulouse,07:39,02:48,06:21,07:14,02:20,08:40,04:54,08:14,02:03,07:51,08:47,05:26,09:06,03:59,08:56,05:01,06:09,04:47,07:54,08:11,02:46,04:51,06:20,03:49,08:51,08:21,08:30,05:24,01:33,05:14,02:44,03:05,05:03,06:15,01:57,01:58,04:26,07:22,06:32,04:00,01:54,07:21,05:52,09:21,04:18,,,,,
Tours,03:43,04:51,03:41,04:33,03:12,04:32,01:38,04:44,03:31,02:42,04:49,05:35,03:56,03:07,05:00,07:22,06:02,05:35,03:06,04:15,02:42,05:03,01:10,07:10,05:04,05:40,04:53,02:18,06:32,08:35,06:34,06:04,01:09,02:19,05:46,06:58,01:07,03:27,02:25,02:20,05:51,02:50,04:13,06:16,07:39,05:16,,,,
Troyes,02:50,07:36,02:09,02:29,05:57,03:46,02:53,06:50,05:03,03:56,03:39,04:18,05:16,04:59,03:49,06:05,03:58,04:19,03:40,03:04,04:14,03:23,03:15,06:09,02:21,03:43,02:32,04:51,06:45,07:35,05:38,05:04,02:03,01:54,08:28,07:15,03:51,01:17,04:31,05:04,07:18,03:08,04:01,03:45,06:39,06:48,02:52,,,
Valence,06:35,06:26,02:26,03:25,06:02,07:36,04:08,09:53,04:17,07:10,07:34,01:39,08:30,02:36,07:44,02:46,02:22,01:00,06:54,06:59,04:42,01:04,06:20,02:03,04:56,04:29,04:35,07:08,02:39,03:29,01:32,00:58,04:59,05:10,05:35,03:09,06:02,05:12,07:36,07:27,04:02,06:22,01:18,05:29,02:33,03:58,05:18,04:18,,
Valenciennes,01:20,08:52,04:34,04:55,07:13,01:51,04:20,07:04,06:19,03:28,01:45,06:42,04:47,05:49,01:26,08:30,06:23,06:43,02:52,00:41,05:30,05:47,03:57,08:34,03:14,05:39,03:47,05:33,08:59,10:00,08:03,07:29,03:20,02:06,09:44,09:29,05:08,01:39,05:09,06:20,08:08,02:19,06:26,04:35,09:04,08:04,04:09,02:49,06:42,
