Index	Temps	Position Moteur
	t(s)	qm (tops)
1	0	73383
2	0.01	73429
3	0.02	73573
4	0.03	73797
5	0.04	74105
6	0.05	74479
7	0.06	74914
8	0.07	75434
9	0.08	76043
10	0.09	76750
11	0.1	77569
12	0.11	78491
13	0.12	79507
14	0.13	80610
15	0.14	81793
16	0.15	83049
17	0.16	84388
18	0.17	85815
19	0.18	87333
20	0.19	88918
21	0.2	90572
22	0.21	92302
23	0.22	94115
24	0.23	95992
25	0.24	97903
26	0.25	99836
27	0.26	101752
28	0.27	103541
29	0.28	105226
30	0.29	106817
31	0.3	108318
32	0.31	109731
33	0.32	111060
34	0.33	112306
35	0.34	113474
36	0.35	114564
37	0.36	115575
38	0.37	116506
39	0.38	117356
40	0.39	118121
41	0.4	118800
42	0.41	119396
43	0.42	119905
44	0.43	120331
45	0.44	120673
46	0.45	120931
47	0.46	121108
48	0.47	121202
