1	NAIRO QUINTANA 	61	MOVISTAR TEAM 	05h 34' 15''	-	B : 18''	-
2	ROMAIN BARDET 	31	AG2R LA MONDIALE 	05h 35' 50''	+ 00h 01' 35''	B : 11''	-
3	ALEXEY LUTSENKO 	76	ASTANA PRO TEAM 	05h 36' 43''	+ 00h 02' 28''	B : 6''	-
4	LENNARD KƒMNA 	145	TEAM SUNWEB 	05h 37' 13''	+ 00h 02' 58''	-	-
5	DAMIANO CARUSO 	42	BAHRAIN - MERIDA 	05h 37' 15''	+ 00h 03' 00''	-	-
6	TIESJ BENOOT 	162	LOTTO SOUDAL 	05h 39' 01''	+ 00h 04' 46''	-	-
7	MICHAEL WOODS 	98	EF EDUCATION FIRST 	05h 39' 01''	+ 00h 04' 46''	-	-
8	EGAN BERNAL 	2	TEAM INEOS 	05h 39' 01''	+ 00h 04' 46''	-	-
9	SERGE PAUWELS 	115	CCC TEAM 	05h 39' 01''	+ 00h 04' 46''	-	-
10	STEVEN KRUIJSWIJK 	81	TEAM JUMBO - VISMA 	05h 39' 33''	+ 00h 05' 18''	-	-
11	EMANUEL BUCHMANN 	12	BORA - HANSGROHE 	05h 39' 33''	+ 00h 05' 18''	-	-
12	THIBAUT PINOT 	51	GROUPAMA - FDJ 	05h 39' 33''	+ 00h 05' 18''	-	-
13	GERAINT THOMAS 	1	TEAM INEOS 	05h 39' 33''	+ 00h 05' 18''	-	-
14	JULIAN ALAPHILIPPE 	21	DECEUNINCK - QUICK - STEP 	05h 39' 33''	+ 00h 05' 18''	-	-
15	RIGOBERTO URAN 	91	EF EDUCATION FIRST 	05h 39' 33''	+ 00h 05' 18''	-	-
16	MIKEL LANDA MEANA 	65	MOVISTAR TEAM 	05h 39' 33''	+ 00h 05' 18''	-	-
17	RICHIE PORTE 	131	TREK - SEGAFREDO 	05h 39' 33''	+ 00h 05' 18''	-	-
18	WARREN BARGUIL 	211	TEAM ARKEA - SAMSIC 	05h 39' 58''	+ 00h 05' 43''	-	-
19	ALEJANDRO VALVERDE 	62	MOVISTAR TEAM 	05h 40' 31''	+ 00h 06' 16''	-	-
20	GUILLAUME MARTIN 	191	WANTY - GOBERT CYCLING TEAM 	05h 41' 02''	+ 00h 06' 47''	-	-
21	FABIO ARU 	122	UAE TEAM EMIRATES 	05h 41' 39''	+ 00h 07' 24''	-	-
22	DAVID GAUDU 	53	GROUPAMA - FDJ 	05h 42' 37''	+ 00h 08' 22''	-	-
23	S…BASTIEN REICHENBACH 	57	GROUPAMA - FDJ 	05h 43' 08''	+ 00h 08' 53''	-	-
24	ROMAN KREUZIGER 	206	TEAM DIMENSION DATA 	05h 44' 27''	+ 00h 10' 12''	-	-
25	MIKAEL CHEREL 	32	AG2R LA MONDIALE 	05h 44' 38''	+ 00h 10' 23''	-	-
26	ENRIC MAS 	25	DECEUNINCK - QUICK - STEP 	05h 45' 12''	+ 00h 10' 57''	-	-
27	GEORGE BENNETT 	82	TEAM JUMBO - VISMA 	05h 45' 13''	+ 00h 10' 58''	-	-
28	JULIEN BERNARD 	132	TREK - SEGAFREDO 	05h 46' 42''	+ 00h 12' 27''	-	-
29	LAURENS DE PLUS 	83	TEAM JUMBO - VISMA 	05h 46' 42''	+ 00h 12' 27''	-	-
30	SIMON GESCHKE 	114	CCC TEAM 	05h 47' 26''	+ 00h 13' 11''	-	-
31	ADAM YATES 	101	MITCHELTON - SCOTT 	05h 47' 26''	+ 00h 13' 11''	-	-
32	GREG VAN AVERMAET 	111	CCC TEAM 	05h 47' 36''	+ 00h 13' 21''	-	-
33	TANEL KANGERT 	94	EF EDUCATION FIRST 	05h 47' 36''	+ 00h 13' 21''	-	-
34	ST…PHANE ROSSETTO 	157	COFIDIS, SOLUTIONS CREDITS 	05h 47' 56''	+ 00h 13' 41''	-	-
35	DYLAN VAN BAARLE 	8	TEAM INEOS 	05h 48' 10''	+ 00h 13' 55''	-	-
36	MARC SOLER 	67	MOVISTAR TEAM 	05h 48' 16''	+ 00h 14' 01''	-	-
37	GREGOR M‹HLBERGER 	15	BORA - HANSGROHE 	05h 49' 32''	+ 00h 15' 17''	-	-
38	WOUT POELS 	6	TEAM INEOS 	05h 50' 47''	+ 00h 16' 32''	-	-
39	XANDRO MEURISSE 	195	WANTY - GOBERT CYCLING TEAM 	05h 51' 08''	+ 00h 16' 53''	-	-
40	RUDY MOLARD 	56	GROUPAMA - FDJ 	05h 53' 40''	+ 00h 19' 25''	-	-
41	MIKE TEUNISSEN 	87	TEAM JUMBO - VISMA 	05h 54' 51''	+ 00h 20' 36''	-	-
42	JONATHAN CASTROVIEJO 	3	TEAM INEOS 	05h 55' 02''	+ 00h 20' 47''	-	-
43	PAUL OURSELIN 	174	TOTAL DIRECT ENERGIE 	05h 55' 02''	+ 00h 20' 47''	-	-
44	NILS POLITT 	186	TEAM KATUSHA ALPECIN 	05h 55' 39''	+ 00h 21' 24''	-	-
45	TIM WELLENS 	168	LOTTO SOUDAL 	05h 56' 40''	+ 00h 22' 25''	-	-
46	MATHIAS FRANK 	34	AG2R LA MONDIALE 	05h 56' 40''	+ 00h 22' 25''	-	-
47	FABIO FELLINE 	135	TREK - SEGAFREDO 	05h 56' 55''	+ 00h 22' 40''	-	-
48	ALBERTO BETTIOL 	92	EF EDUCATION FIRST 	05h 56' 55''	+ 00h 22' 40''	-	-
49	GIULIO CICCONE 	133	TREK - SEGAFREDO 	05h 56' 55''	+ 00h 22' 40''	-	-
50	BENJAMIN KING 	205	TEAM DIMENSION DATA 	05h 56' 55''	+ 00h 22' 40''	-	-
51	VINCENZO NIBALI 	41	BAHRAIN - MERIDA 	05h 56' 55''	+ 00h 22' 40''	-	-
52	MICHAEL SCHƒR 	117	CCC TEAM 	05h 56' 55''	+ 00h 22' 40''	-	-
