Nom;Temps
MEYSSAT;05:18:01
PIGNARD;05:29:46
CORI;05:32:51
MOULAI;05:38:49
MAYER;05:39:00
ALMOGUERA;05:41:26
CHARLES-MANGEON;05:41:45
GARRIVIER;05:43:29
BARONIAN;05:45:47
MEUNIER;05:52:39
LECLERC;05:53:00
GAZULLA;05:54:15
FREUDENREICH;05:57:26
ROUGIEUX;05:57:39
DOBERT;06:01:41
BIDOLI;06:04:19
GASC;06:07:34
DOS;06:07:57
LACASSAGNE;06:08:34
RAJA;06:11:44
BOYER;06:12:17
DURANCE;06:13:04
DURAND;06:15:37
PARISE;06:15:37
VOISIN;06:16:41
VALADE;06:19:52
DERCOURT;06:19:53
LESAVRE;06:20:08
SGHAIER;06:21:35
KIREDJIAN;06:23:32
LAGOUTTE;06:23:46
